record_id,redcap_repeat_instrument,redcap_repeat_instance,name,gender,eye_color,race,hair_color,height,weight,publisher,skin_color,alignment,heroes_information_complete,power,super_hero_powers_complete
3,super_hero_powers,3,,,,,,,,,,,,"Super Strength",0
3,super_hero_powers,4,,,,,,,,,,,,Stamina,0
3,super_hero_powers,5,,,,,,,,,,,,"Super Speed",0
3,super_hero_powers,6,,,,,,,,,,,,Invulnerability,0
3,super_hero_powers,7,,,,,,,,,,,,Animation,0
3,super_hero_powers,8,,,,,,,,,,,,"Super Breath",0
4,,,Abraxas,Male,blue,"Cosmic Entity",Black,-99,-99,"Marvel Comics",-,bad,0,,
4,super_hero_powers,1,,,,,,,,,,,,"Dimensional Awareness",0
4,super_hero_powers,2,,,,,,,,,,,,Flight,0
4,super_hero_powers,3,,,,,,,,,,,,Intelligence,0
4,super_hero_powers,4,,,,,,,,,,,,"Super Strength",0
4,super_hero_powers,5,,,,,,,,,,,,"Size Changing",0
4,super_hero_powers,6,,,,,,,,,,,,"Super Speed",0
4,super_hero_powers,7,,,,,,,,,,,,Teleportation,0
4,super_hero_powers,8,,,,,,,,,,,,Magic,0
4,super_hero_powers,9,,,,,,,,,,,,"Dimensional Travel",0
4,super_hero_powers,10,,,,,,,,,,,,Immortality,0
4,super_hero_powers,11,,,,,,,,,,,,Invulnerability,0
4,super_hero_powers,12,,,,,,,,,,,,"Molecular Manipulation",0
4,super_hero_powers,13,,,,,,,,,,,,"Energy Manipulation",0
4,super_hero_powers,14,,,,,,,,,,,,"Power Cosmic",0
5,,,"Absorbing Man",Male,blue,Human,"No Hair",193,122,"Marvel Comics",-,bad,0,,
5,super_hero_powers,1,,,,,,,,,,,,"Cold Resistance",0
5,super_hero_powers,2,,,,,,,,,,,,Durability,0
5,super_hero_powers,3,,,,,,,,,,,,"Energy Absorption",0
5,super_hero_powers,4,,,,,,,,,,,,"Super Strength",0
5,super_hero_powers,5,,,,,,,,,,,,Invulnerability,0
5,super_hero_powers,6,,,,,,,,,,,,"Elemental Transmogrification",0
5,super_hero_powers,7,,,,,,,,,,,,"Fire Resistance",0
5,super_hero_powers,8,,,,,,,,,,,,"Natural Armor",0
5,super_hero_powers,9,,,,,,,,,,,,"Molecular Manipulation",0
5,super_hero_powers,10,,,,,,,,,,,,"Heat Resistance",0
5,super_hero_powers,11,,,,,,,,,,,,"Matter Absorption",0
6,,,"Adam Monroe",Male,blue,-,Blond,-99,-99,"NBC - Heroes",-,good,0,,
6,super_hero_powers,1,,,,,,,,,,,,"Accelerated Healing",0
6,super_hero_powers,2,,,,,,,,,,,,Immortality,0
6,super_hero_powers,3,,,,,,,,,,,,Regeneration,0
7,,,"Adam Strange",Male,blue,Human,Blond,185,88,"DC Comics",-,good,0,,
7,super_hero_powers,1,,,,,,,,,,,,Durability,0
7,super_hero_powers,2,,,,,,,,,,,,Stealth,0
7,super_hero_powers,3,,,,,,,,,,,,Flight,0
7,super_hero_powers,4,,,,,,,,,,,,Marksmanship,0
7,super_hero_powers,5,,,,,,,,,,,,"Weapons Master",0
7,super_hero_powers,6,,,,,,,,,,,,Intelligence,0
7,super_hero_powers,7,,,,,,,,,,,,"Super Speed",0
7,super_hero_powers,8,,,,,,,,,,,,"Fire Resistance",0
7,super_hero_powers,9,,,,,,,,,,,,"Enhanced Sight",0
7,super_hero_powers,10,,,,,,,,,,,,"Power Suit",0
8,,,"Agent 13",Female,blue,-,Blond,173,61,"Marvel Comics",-,good,0,,
9,,,"Agent Bob",Male,brown,Human,Brown,178,81,"Marvel Comics",-,good,0,,
9,super_hero_powers,1,,,,,,,,,,,,Stealth,0
10,,,"Agent Zero",Male,-,-,-,191,104,"Marvel Comics",-,good,0,,
10,super_hero_powers,1,,,,,,,,,,,,"Energy Absorption",0
10,super_hero_powers,2,,,,,,,,,,,,Longevity,0
10,super_hero_powers,3,,,,,,,,,,,,"Super Strength",0
10,super_hero_powers,4,,,,,,,,,,,,"Energy Blasts",0
10,super_hero_powers,5,,,,,,,,,,,,"Energy Beams",0
10,super_hero_powers,6,,,,,,,,,,,,"Power Suit",0
11,,,Air-Walker,Male,blue,-,White,188,108,"Marvel Comics",-,bad,0,,
11,super_hero_powers,1,,,,,,,,,,,,Flight,0
11,super_hero_powers,2,,,,,,,,,,,,"Super Strength",0
11,super_hero_powers,3,,,,,,,,,,,,"Super Speed",0
11,super_hero_powers,4,,,,,,,,,,,,Self-Sustenance,0
11,super_hero_powers,5,,,,,,,,,,,,"Molecular Manipulation",0
11,super_hero_powers,6,,,,,,,,,,,,"Power Cosmic",0
12,,,Ajax,Male,brown,Cyborg,Black,193,90,"Marvel Comics",-,bad,0,,
12,super_hero_powers,1,,,,,,,,,,,,Agility,0
12,super_hero_powers,2,,,,,,,,,,,,"Super Strength",0
12,super_hero_powers,3,,,,,,,,,,,,"Super Speed",0
12,super_hero_powers,4,,,,,,,,,,,,"Heat Generation",0
12,super_hero_powers,5,,,,,,,,,,,,"Power Suit",0
13,,,"Alan Scott",Male,blue,-,Blond,180,90,"DC Comics",-,good,0,,
13,super_hero_powers,1,,,,,,,,,,,,Flight,0
13,super_hero_powers,2,,,,,,,,,,,,"Danger Sense",0
13,super_hero_powers,3,,,,,,,,,,,,Intelligence,0
13,super_hero_powers,4,,,,,,,,,,,,Telepathy,0
13,super_hero_powers,5,,,,,,,,,,,,"Energy Blasts",0
13,super_hero_powers,6,,,,,,,,,,,,"Super Speed",0
13,super_hero_powers,7,,,,,,,,,,,,Teleportation,0
13,super_hero_powers,8,,,,,,,,,,,,"Energy Beams",0
13,super_hero_powers,9,,,,,,,,,,,,Phasing,0
13,super_hero_powers,10,,,,,,,,,,,,"Force Fields",0
13,super_hero_powers,11,,,,,,,,,,,,Hypnokinesis,0
13,super_hero_powers,12,,,,,,,,,,,,"Energy Manipulation",0
13,super_hero_powers,13,,,,,,,,,,,,Invisibility,0
14,,,"Alex Mercer",Male,-,Human,-,-99,-99,Wildstorm,-,bad,0,,
14,super_hero_powers,1,,,,,,,,,,,,Agility,0
14,super_hero_powers,2,,,,,,,,,,,,"Accelerated Healing",0
14,super_hero_powers,3,,,,,,,,,,,,Stealth,0
14,super_hero_powers,4,,,,,,,,,,,,"Energy Absorption",0
14,super_hero_powers,5,,,,,,,,,,,,"Danger Sense",0
14,super_hero_powers,6,,,,,,,,,,,,Marksmanship,0
14,super_hero_powers,7,,,,,,,,,,,,"Weapons Master",0
14,super_hero_powers,8,,,,,,,,,,,,Longevity,0
14,super_hero_powers,9,,,,,,,,,,,,"Super Strength",0
14,super_hero_powers,10,,,,,,,,,,,,"Energy Blasts",0
14,super_hero_powers,11,,,,,,,,,,,,Stamina,0
14,super_hero_powers,12,,,,,,,,,,,,"Super Speed",0
14,super_hero_powers,13,,,,,,,,,,,,"Enhanced Senses",0
14,super_hero_powers,14,,,,,,,,,,,,Jump,0
14,super_hero_powers,15,,,,,,,,,,,,Shapeshifting,0
14,super_hero_powers,16,,,,,,,,,,,,Immortality,0
14,super_hero_powers,17,,,,,,,,,,,,Invulnerability,0
14,super_hero_powers,18,,,,,,,,,,,,Elasticity,0
14,super_hero_powers,19,,,,,,,,,,,,"Substance Secretion",0
14,super_hero_powers,20,,,,,,,,,,,,"Enhanced Hearing",0
14,super_hero_powers,21,,,,,,,,,,,,"Natural Armor",0
14,super_hero_powers,22,,,,,,,,,,,,Adaptation,0
14,super_hero_powers,23,,,,,,,,,,,,Gliding,0
14,super_hero_powers,24,,,,,,,,,,,,"Natural Weapons",0
14,super_hero_powers,25,,,,,,,,,,,,Wallcrawling,0
14,super_hero_powers,26,,,,,,,,,,,,"Matter Absorption",0
14,super_hero_powers,27,,,,,,,,,,,,"Vision - Thermal",0
15,,,"Alex Woolsly",Male,-,-,-,-99,-99,"NBC - Heroes",-,good,0,,
15,super_hero_powers,1,,,,,,,,,,,,"Underwater breathing",0
16,,,"Alfred Pennyworth",Male,blue,Human,Black,178,72,"DC Comics",-,good,0,,
17,,,Alien,Male,-,"Xenomorph XX121","No Hair",244,169,"Dark Horse Comics",black,bad,0,,
17,super_hero_powers,1,,,,,,,,,,,,Agility,0
17,super_hero_powers,2,,,,,,,,,,,,"Cold Resistance",0
17,super_hero_powers,3,,,,,,,,,,,,Durability,0
17,super_hero_powers,4,,,,,,,,,,,,Stealth,0
17,super_hero_powers,5,,,,,,,,,,,,"Super Strength",0
17,super_hero_powers,6,,,,,,,,,,,,"Super Speed",0
17,super_hero_powers,7,,,,,,,,,,,,"Enhanced Senses",0
17,super_hero_powers,8,,,,,,,,,,,,Jump,0
17,super_hero_powers,9,,,,,,,,,,,,"Substance Secretion",0
17,super_hero_powers,10,,,,,,,,,,,,"Natural Armor",0
17,super_hero_powers,11,,,,,,,,,,,,"Heat Resistance",0
17,super_hero_powers,12,,,,,,,,,,,,"Natural Weapons",0
17,super_hero_powers,13,,,,,,,,,,,,Wallcrawling,0
17,super_hero_powers,14,,,,,,,,,,,,"Vision - Thermal",0
18,,,"Allan Quatermain",Male,-,-,-,-99,-99,Wildstorm,-,good,0,,
18,super_hero_powers,1,,,,,,,,,,,,Marksmanship,0
19,,,Amazo,Male,red,Android,-,257,173,"DC Comics",-,bad,0,,
19,super_hero_powers,1,,,,,,,,,,,,Agility,0
19,super_hero_powers,2,,,,,,,,,,,,"Lantern Power Ring",0
19,super_hero_powers,3,,,,,,,,,,,,Durability,0
19,super_hero_powers,4,,,,,,,,,,,,Flight,0
19,super_hero_powers,5,,,,,,,,,,,,"Underwater breathing",0
19,super_hero_powers,6,,,,,,,,,,,,Marksmanship,0
19,super_hero_powers,7,,,,,,,,,,,,"Power Augmentation",0
19,super_hero_powers,8,,,,,,,,,,,,Longevity,0
19,super_hero_powers,9,,,,,,,,,,,,Intelligence,0
19,super_hero_powers,10,,,,,,,,,,,,"Super Strength",0
19,super_hero_powers,11,,,,,,,,,,,,Cryokinesis,0
19,super_hero_powers,12,,,,,,,,,,,,Telepathy,0
19,super_hero_powers,13,,,,,,,,,,,,"Energy Blasts",0
19,super_hero_powers,14,,,,,,,,,,,,Duplication,0
19,super_hero_powers,15,,,,,,,,,,,,"Size Changing",0
19,super_hero_powers,16,,,,,,,,,,,,Stamina,0
19,super_hero_powers,17,,,,,,,,,,,,"Super Speed",0
19,super_hero_powers,18,,,,,,,,,,,,"Weapon-based Powers",0
19,super_hero_powers,19,,,,,,,,,,,,Teleportation,0
19,super_hero_powers,20,,,,,,,,,,,,"Enhanced Senses",0
19,super_hero_powers,21,,,,,,,,,,,,Jump,0
19,super_hero_powers,22,,,,,,,,,,,,Shapeshifting,0
19,super_hero_powers,23,,,,,,,,,,,,Camouflage,0
19,super_hero_powers,24,,,,,,,,,,,,Phasing,0
19,super_hero_powers,25,,,,,,,,,,,,"Fire Control",0
19,super_hero_powers,26,,,,,,,,,,,,"Enhanced Memory",0
19,super_hero_powers,27,,,,,,,,,,,,Reflexes,0
19,super_hero_powers,28,,,,,,,,,,,,Invulnerability,0
19,super_hero_powers,29,,,,,,,,,,,,"Energy Constructs",0
19,super_hero_powers,30,,,,,,,,,,,,"Force Fields",0
19,super_hero_powers,31,,,,,,,,,,,,"Power Absorption",0
19,super_hero_powers,32,,,,,,,,,,,,"Enhanced Hearing",0
19,super_hero_powers,33,,,,,,,,,,,,"Time Travel",0
19,super_hero_powers,34,,,,,,,,,,,,"Enhanced Smell",0
19,super_hero_powers,35,,,,,,,,,,,,"Water Control",0
19,super_hero_powers,36,,,,,,,,,,,,"Vision - Telescopic",0
19,super_hero_powers,37,,,,,,,,,,,,Magnetism,0
19,super_hero_powers,38,,,,,,,,,,,,Invisibility,0
19,super_hero_powers,39,,,,,,,,,,,,"Vision - Microscopic",0
19,super_hero_powers,40,,,,,,,,,,,,"Super Breath",0
19,super_hero_powers,41,,,,,,,,,,,,"Vision - Night",0
19,super_hero_powers,42,,,,,,,,,,,,"Vision - Heat",0
19,super_hero_powers,43,,,,,,,,,,,,"Vision - X-Ray",0
19,super_hero_powers,44,,,,,,,,,,,,"Vision - Thermal",0
20,,,Ammo,Male,brown,Human,Black,188,101,"Marvel Comics",-,bad,0,,
20,super_hero_powers,1,,,,,,,,,,,,"Weapons Master",0
21,,,"Ando Masahashi",Male,-,-,-,-99,-99,"NBC - Heroes",-,good,0,,
21,super_hero_powers,1,,,,,,,,,,,,"Power Augmentation",0
22,,,Angel,Male,blue,-,Blond,183,68,"Marvel Comics",-,good,0,,
22,super_hero_powers,1,,,,,,,,,,,,Agility,0
22,super_hero_powers,2,,,,,,,,,,,,"Accelerated Healing",0
22,super_hero_powers,3,,,,,,,,,,,,Durability,0
22,super_hero_powers,4,,,,,,,,,,,,Stealth,0
22,super_hero_powers,5,,,,,,,,,,,,Flight,0
22,super_hero_powers,6,,,,,,,,,,,,Longevity,0
22,super_hero_powers,7,,,,,,,,,,,,"Super Strength",0
22,super_hero_powers,8,,,,,,,,,,,,Stamina,0
22,super_hero_powers,9,,,,,,,,,,,,"Super Speed",0
22,super_hero_powers,10,,,,,,,,,,,,"Enhanced Senses",0
22,super_hero_powers,11,,,,,,,,,,,,Magic,0
22,super_hero_powers,12,,,,,,,,,,,,Immortality,0
22,super_hero_powers,13,,,,,,,,,,,,"Enhanced Memory",0
22,super_hero_powers,14,,,,,,,,,,,,"Psionic Powers",0
22,super_hero_powers,15,,,,,,,,,,,,"Enhanced Hearing",0
22,super_hero_powers,16,,,,,,,,,,,,Gliding,0
22,super_hero_powers,17,,,,,,,,,,,,"Vision - Telescopic",0
22,super_hero_powers,18,,,,,,,,,,,,"Toxin and Disease Resistance",0
23,,,Angel,Male,-,Vampire,-,-99,-99,"Dark Horse Comics",-,good,0,,
23,super_hero_powers,1,,,,,,,,,,,,Agility,0
23,super_hero_powers,2,,,,,,,,,,,,"Accelerated Healing",0
23,super_hero_powers,3,,,,,,,,,,,,Durability,0
23,super_hero_powers,4,,,,,,,,,,,,Stealth,0
23,super_hero_powers,5,,,,,,,,,,,,Flight,0
23,super_hero_powers,6,,,,,,,,,,,,Longevity,0
23,super_hero_powers,7,,,,,,,,,,,,"Super Strength",0
23,super_hero_powers,8,,,,,,,,,,,,Stamina,0
23,super_hero_powers,9,,,,,,,,,,,,"Super Speed",0
23,super_hero_powers,10,,,,,,,,,,,,"Enhanced Senses",0
23,super_hero_powers,11,,,,,,,,,,,,Magic,0
23,super_hero_powers,12,,,,,,,,,,,,Immortality,0
23,super_hero_powers,13,,,,,,,,,,,,"Enhanced Memory",0
23,super_hero_powers,14,,,,,,,,,,,,"Psionic Powers",0
23,super_hero_powers,15,,,,,,,,,,,,"Enhanced Hearing",0
23,super_hero_powers,16,,,,,,,,,,,,Gliding,0
23,super_hero_powers,17,,,,,,,,,,,,"Vision - Telescopic",0
23,super_hero_powers,18,,,,,,,,,,,,"Toxin and Disease Resistance",0
24,,,"Angel Dust",Female,yellow,Mutant,Black,165,57,"Marvel Comics",-,good,0,,
24,super_hero_powers,1,,,,,,,,,,,,Agility,0
24,super_hero_powers,2,,,,,,,,,,,,"Super Strength",0
24,super_hero_powers,3,,,,,,,,,,,,Stamina,0
24,super_hero_powers,4,,,,,,,,,,,,"Super Speed",0
25,,,"Angel Salvadore",Female,brown,-,Black,163,54,"Marvel Comics",-,good,0,,
25,super_hero_powers,1,,,,,,,,,,,,Flight,0
25,super_hero_powers,2,,,,,,,,,,,,"Animal Attributes",0
25,super_hero_powers,3,,,,,,,,,,,,"Animal Oriented Powers",0
25,super_hero_powers,4,,,,,,,,,,,,Regeneration,0
25,super_hero_powers,5,,,,,,,,,,,,"Toxin and Disease Control",0
26,,,Angela,Female,-,-,-,-99,-99,"Image Comics",-,bad,0,,
26,super_hero_powers,1,,,,,,,,,,,,Longevity,0
27,,,"Animal Man",Male,blue,Human,Blond,183,83,"DC Comics",-,good,0,,
27,super_hero_powers,1,,,,,,,,,,,,"Animal Attributes",0
27,super_hero_powers,2,,,,,,,,,,,,Telepathy,0
27,super_hero_powers,3,,,,,,,,,,,,"Energy Blasts",0
27,super_hero_powers,4,,,,,,,,,,,,"Animal Oriented Powers",0
27,super_hero_powers,5,,,,,,,,,,,,Empathy,0
28,,,Annihilus,Male,green,-,"No Hair",180,90,"Marvel Comics",-,bad,0,,
28,super_hero_powers,1,,,,,,,,,,,,Agility,0
28,super_hero_powers,2,,,,,,,,,,,,Durability,0
28,super_hero_powers,3,,,,,,,,,,,,Flight,0
28,super_hero_powers,4,,,,,,,,,,,,"Super Strength",0
28,super_hero_powers,5,,,,,,,,,,,,Stamina,0
28,super_hero_powers,6,,,,,,,,,,,,"Super Speed",0
28,super_hero_powers,7,,,,,,,,,,,,Reflexes,0
29,,,Ant-Man,Male,blue,Human,Blond,211,122,"Marvel Comics",-,good,0,,
29,super_hero_powers,1,,,,,,,,,,,,Intelligence,0
29,super_hero_powers,2,,,,,,,,,,,,"Size Changing",0
30,,,"Ant-Man II",Male,blue,Human,Blond,183,86,"Marvel Comics",-,good,0,,
30,super_hero_powers,1,,,,,,,,,,,,Agility,0
30,super_hero_powers,2,,,,,,,,,,,,Stealth,0
30,super_hero_powers,3,,,,,,,,,,,,Intelligence,0
30,super_hero_powers,4,,,,,,,,,,,,"Super Strength",0
30,super_hero_powers,5,,,,,,,,,,,,Telepathy,0
30,super_hero_powers,6,,,,,,,,,,,,"Size Changing",0
30,super_hero_powers,7,,,,,,,,,,,,Stamina,0
30,super_hero_powers,8,,,,,,,,,,,,"Animal Oriented Powers",0
30,super_hero_powers,9,,,,,,,,,,,,"Animal Control",0
31,,,Anti-Monitor,Male,yellow,"God / Eternal","No Hair",61,-99,"DC Comics",-,bad,0,,
31,super_hero_powers,1,,,,,,,,,,,,"Accelerated Healing",0
31,super_hero_powers,2,,,,,,,,,,,,"Dimensional Awareness",0
31,super_hero_powers,3,,,,,,,,,,,,Durability,0
31,super_hero_powers,4,,,,,,,,,,,,"Energy Absorption",0
31,super_hero_powers,5,,,,,,,,,,,,Flight,0
31,super_hero_powers,6,,,,,,,,,,,,"Power Augmentation",0
31,super_hero_powers,7,,,,,,,,,,,,Intelligence,0
31,super_hero_powers,8,,,,,,,,,,,,"Super Strength",0
31,super_hero_powers,9,,,,,,,,,,,,Telepathy,0
31,super_hero_powers,10,,,,,,,,,,,,"Energy Blasts",0
31,super_hero_powers,11,,,,,,,,,,,,"Size Changing",0
31,super_hero_powers,12,,,,,,,,,,,,"Darkforce Manipulation",0
31,super_hero_powers,13,,,,,,,,,,,,Teleportation,0
31,super_hero_powers,14,,,,,,,,,,,,"Energy Beams",0
31,super_hero_powers,15,,,,,,,,,,,,Immortality,0
31,super_hero_powers,16,,,,,,,,,,,,Invulnerability,0
31,super_hero_powers,17,,,,,,,,,,,,"Energy Constructs",0
31,super_hero_powers,18,,,,,,,,,,,,"Molecular Manipulation",0
31,super_hero_powers,19,,,,,,,,,,,,"Power Suit",0
31,super_hero_powers,20,,,,,,,,,,,,"Time Travel",0
31,super_hero_powers,21,,,,,,,,,,,,"Time Manipulation",0
31,super_hero_powers,22,,,,,,,,,,,,"Matter Absorption",0
31,super_hero_powers,23,,,,,,,,,,,,"Reality Warping",0
32,,,Anti-Spawn,Male,-,-,-,-99,-99,"Image Comics",-,bad,0,,
32,super_hero_powers,1,,,,,,,,,,,,Durability,0
32,super_hero_powers,2,,,,,,,,,,,,"Super Strength",0
32,super_hero_powers,3,,,,,,,,,,,,"Energy Blasts",0
32,super_hero_powers,4,,,,,,,,,,,,Stamina,0
32,super_hero_powers,5,,,,,,,,,,,,Teleportation,0
32,super_hero_powers,6,,,,,,,,,,,,"Energy Manipulation",0
33,,,Anti-Venom,Male,blue,Symbiote,Blond,229,358,"Marvel Comics",-,-,0,,
33,super_hero_powers,1,,,,,,,,,,,,"Accelerated Healing",0
33,super_hero_powers,2,,,,,,,,,,,,Durability,0
33,super_hero_powers,3,,,,,,,,,,,,"Danger Sense",0
33,super_hero_powers,4,,,,,,,,,,,,"Super Strength",0
33,super_hero_powers,5,,,,,,,,,,,,Stamina,0
33,super_hero_powers,6,,,,,,,,,,,,"Enhanced Senses",0
33,super_hero_powers,7,,,,,,,,,,,,Shapeshifting,0
33,super_hero_powers,8,,,,,,,,,,,,Camouflage,0
33,super_hero_powers,9,,,,,,,,,,,,Reflexes,0
33,super_hero_powers,10,,,,,,,,,,,,Elasticity,0
33,super_hero_powers,11,,,,,,,,,,,,"Toxin and Disease Resistance",0
33,super_hero_powers,12,,,,,,,,,,,,Wallcrawling,0
33,super_hero_powers,13,,,,,,,,,,,,"Web Creation",0
33,super_hero_powers,14,,,,,,,,,,,,"Symbiote Costume",0
34,,,Apocalypse,Male,red,Mutant,Black,213,135,"Marvel Comics",grey,bad,0,,
34,super_hero_powers,1,,,,,,,,,,,,Agility,0
34,super_hero_powers,2,,,,,,,,,,,,"Accelerated Healing",0
34,super_hero_powers,3,,,,,,,,,,,,"Energy Absorption",0
34,super_hero_powers,4,,,,,,,,,,,,Flight,0
34,super_hero_powers,5,,,,,,,,,,,,"Power Augmentation",0
34,super_hero_powers,6,,,,,,,,,,,,Longevity,0
34,super_hero_powers,7,,,,,,,,,,,,"Super Strength",0
34,super_hero_powers,8,,,,,,,,,,,,Telepathy,0
34,super_hero_powers,9,,,,,,,,,,,,"Energy Blasts",0
34,super_hero_powers,10,,,,,,,,,,,,"Size Changing",0
34,super_hero_powers,11,,,,,,,,,,,,Stamina,0
34,super_hero_powers,12,,,,,,,,,,,,"Super Speed",0
34,super_hero_powers,13,,,,,,,,,,,,Teleportation,0
34,super_hero_powers,14,,,,,,,,,,,,Telekinesis,0
34,super_hero_powers,15,,,,,,,,,,,,Shapeshifting,0
34,super_hero_powers,16,,,,,,,,,,,,Immortality,0
34,super_hero_powers,17,,,,,,,,,,,,Reflexes,0
34,super_hero_powers,18,,,,,,,,,,,,Invulnerability,0
34,super_hero_powers,19,,,,,,,,,,,,"Force Fields",0
34,super_hero_powers,20,,,,,,,,,,,,"Natural Armor",0
34,super_hero_powers,21,,,,,,,,,,,,"Molecular Manipulation",0
34,super_hero_powers,22,,,,,,,,,,,,Levitation,0
34,super_hero_powers,23,,,,,,,,,,,,Biokinesis,0
35,,,Aquababy,Male,blue,-,Blond,-99,-99,"DC Comics",-,good,0,,
35,super_hero_powers,1,,,,,,,,,,,,"Underwater breathing",0
35,super_hero_powers,2,,,,,,,,,,,,"Super Strength",0
35,super_hero_powers,3,,,,,,,,,,,,"Water Control",0
36,,,Aqualad,Male,blue,Atlantean,Black,178,106,"DC Comics",-,good,0,,
36,super_hero_powers,1,,,,,,,,,,,,Durability,0
36,super_hero_powers,2,,,,,,,,,,,,"Underwater breathing",0
36,super_hero_powers,3,,,,,,,,,,,,"Super Strength",0
36,super_hero_powers,4,,,,,,,,,,,,Cryokinesis,0
36,super_hero_powers,5,,,,,,,,,,,,Telepathy,0
36,super_hero_powers,6,,,,,,,,,,,,Stamina,0
36,super_hero_powers,7,,,,,,,,,,,,"Super Speed",0
36,super_hero_powers,8,,,,,,,,,,,,"Energy Beams",0
36,super_hero_powers,9,,,,,,,,,,,,Magic,0
36,super_hero_powers,10,,,,,,,,,,,,"Enhanced Hearing",0
36,super_hero_powers,11,,,,,,,,,,,,"Heat Generation",0
36,super_hero_powers,12,,,,,,,,,,,,"Water Control",0
36,super_hero_powers,13,,,,,,,,,,,,"Vision - Night",0
37,,,Aquaman,Male,blue,Atlantean,Blond,185,146,"DC Comics",-,good,0,,
37,super_hero_powers,1,,,,,,,,,,,,Agility,0
37,super_hero_powers,2,,,,,,,,,,,,"Accelerated Healing",0
37,super_hero_powers,3,,,,,,,,,,,,"Cold Resistance",0
37,super_hero_powers,4,,,,,,,,,,,,Durability,0
37,super_hero_powers,5,,,,,,,,,,,,Stealth,0
37,super_hero_powers,6,,,,,,,,,,,,"Underwater breathing",0
37,super_hero_powers,7,,,,,,,,,,,,Longevity,0
37,super_hero_powers,8,,,,,,,,,,,,Intelligence,0
37,super_hero_powers,9,,,,,,,,,,,,"Super Strength",0
37,super_hero_powers,10,,,,,,,,,,,,Telepathy,0
37,super_hero_powers,11,,,,,,,,,,,,Stamina,0
37,super_hero_powers,12,,,,,,,,,,,,"Super Speed",0
37,super_hero_powers,13,,,,,,,,,,,,"Enhanced Senses",0
37,super_hero_powers,14,,,,,,,,,,,,Reflexes,0
37,super_hero_powers,15,,,,,,,,,,,,Invulnerability,0
37,super_hero_powers,16,,,,,,,,,,,,"Enhanced Hearing",0
37,super_hero_powers,17,,,,,,,,,,,,"Animal Control",0
37,super_hero_powers,18,,,,,,,,,,,,"Enhanced Sight",0
37,super_hero_powers,19,,,,,,,,,,,,"Heat Resistance",0
37,super_hero_powers,20,,,,,,,,,,,,"Enhanced Smell",0
37,super_hero_powers,21,,,,,,,,,,,,"Water Control",0
37,super_hero_powers,22,,,,,,,,,,,,Sonar,0
37,super_hero_powers,23,,,,,,,,,,,,Sub-Mariner,0
37,super_hero_powers,24,,,,,,,,,,,,"Vision - Night",0
38,,,Arachne,Female,blue,Human,Blond,175,63,"Marvel Comics",-,good,0,,
38,super_hero_powers,1,,,,,,,,,,,,Agility,0
38,super_hero_powers,2,,,,,,,,,,,,"Accelerated Healing",0
38,super_hero_powers,3,,,,,,,,,,,,Durability,0
38,super_hero_powers,4,,,,,,,,,,,,"Super Strength",0
38,super_hero_powers,5,,,,,,,,,,,,Stamina,0
38,super_hero_powers,6,,,,,,,,,,,,"Super Speed",0
38,super_hero_powers,7,,,,,,,,,,,,Reflexes,0
38,super_hero_powers,8,,,,,,,,,,,,"Psionic Powers",0
